Date,spotPrice,year,spotPriceRolling,AveragePerYear,Year
2018-01-01 00:00:00,258.86,2018,,,2018
2018-01-01 01:00:00,259.85,2018,,,2018
2018-01-01 02:00:00,256.6,2018,,,2018
2018-01-01 03:00:00,242.84,2018,,,2018
2018-01-01 04:00:00,243.23,2018,,,2018
2018-01-01 05:00:00,177.07,2018,,,2018
2018-01-01 06:00:00,174.8,2018,,,2018
2018-01-01 07:00:00,175.0,2018,,,2018
2018-01-01 08:00:00,194.27,2018,,,2018
2018-01-01 09:00:00,203.81,2018,,,2018
2018-01-01 10:00:00,243.43,2018,,,2018
2018-01-01 11:00:00,252.47,2018,,,2018
2018-01-01 12:00:00,236.84,2018,,,2018
2018-01-01 13:00:00,245.89,2018,,,2018
2018-01-01 14:00:00,253.75,2018,,,2018
2018-01-01 15:00:00,260.14,2018,,,2018
2018-01-01 16:00:00,265.75,2018,,,2018
2018-01-01 17:00:00,269.68,2018,,,2018
2018-01-01 18:00:00,268.3,2018,,,2018
2018-01-01 19:00:00,265.06,2018,,,2018
2018-01-01 20:00:00,262.5,2018,,,2018
2018-01-01 21:00:00,260.24,2018,,,2018
2018-01-01 22:00:00,256.5,2018,,,2018
2018-01-01 23:00:00,244.61,2018,,,2018
2018-01-02 00:00:00,248.54,2018,,,2018
2018-01-02 01:00:00,227.7,2018,,,2018
2018-01-02 02:00:00,243.62,2018,,,2018
2018-01-02 03:00:00,246.08,2018,,,2018
2018-01-02 04:00:00,252.96,2018,,,2018
2018-01-02 05:00:00,263.88,2018,,,2018
2018-01-02 06:00:00,273.32,2018,,,2018
2018-01-02 07:00:00,299.86,2018,,,2018
2018-01-02 08:00:00,313.92,2018,,,2018
2018-01-02 09:00:00,329.65,2018,,,2018
2018-01-02 10:00:00,344.5,2018,,,2018
2018-01-02 11:00:00,346.27,2018,,,2018
2018-01-02 12:00:00,339.78,2018,,,2018
2018-01-02 13:00:00,335.25,2018,,,2018
2018-01-02 14:00:00,353.74,2018,,,2018
2018-01-02 15:00:00,374.09,2018,,,2018
2018-01-02 16:00:00,409.68,2018,,,2018
2018-01-02 17:00:00,416.76,2018,,,2018
2018-01-02 18:00:00,371.53,2018,,,2018
2018-01-02 19:00:00,331.32,2018,,,2018
2018-01-02 20:00:00,303.6,2018,,,2018
2018-01-02 21:00:00,283.64,2018,,,2018
2018-01-02 22:00:00,275.18,2018,,,2018
2018-01-02 23:00:00,271.35,2018,,,2018
2018-01-03 00:00:00,266.13,2018,,,2018
2018-01-03 01:00:00,261.12,2018,,,2018
2018-01-03 02:00:00,257.69,2018,,,2018
2018-01-03 03:00:00,257.39,2018,,,2018
2018-01-03 04:00:00,259.26,2018,,,2018
2018-01-03 05:00:00,269.56,2018,,,2018
2018-01-03 06:00:00,277.81,2018,,,2018
2018-01-03 07:00:00,284.09,2018,,,2018
2018-01-03 08:00:00,286.54,2018,,,2018
2018-01-03 09:00:00,287.32,2018,,,2018
2018-01-03 10:00:00,288.7,2018,,,2018
2018-01-03 11:00:00,287.03,2018,,,2018
2018-01-03 12:00:00,286.83,2018,,,2018
2018-01-03 13:00:00,289.39,2018,,,2018
2018-01-03 14:00:00,293.02,2018,,,2018
2018-01-03 15:00:00,299.39,2018,,,2018
2018-01-03 16:00:00,307.44,2018,,,2018
2018-01-03 17:00:00,309.99,2018,,,2018
2018-01-03 18:00:00,302.04,2018,,,2018
2018-01-03 19:00:00,295.86,2018,,,2018
2018-01-03 20:00:00,288.21,2018,,,2018
2018-01-03 21:00:00,283.89,2018,,,2018
2018-01-03 22:00:00,276.04,2018,,,2018
2018-01-03 23:00:00,267.99,2018,,,2018
2018-01-04 00:00:00,265.69,2018,,,2018
2018-01-04 01:00:00,263.04,2018,,,2018
2018-01-04 02:00:00,259.99,2018,,,2018
2018-01-04 03:00:00,260.19,2018,,,2018
2018-01-04 04:00:00,261.27,2018,,,2018
2018-01-04 05:00:00,265.3,2018,,,2018
2018-01-04 06:00:00,275.41,2018,,,2018
2018-01-04 07:00:00,298.89,2018,,,2018
2018-01-04 08:00:00,322.46,2018,,,2018
2018-01-04 09:00:00,343.48,2018,,,2018
2018-01-04 10:00:00,368.82,2018,,,2018
2018-01-04 11:00:00,353.8,2018,,,2018
2018-01-04 12:00:00,348.98,2018,,,2018
2018-01-04 13:00:00,346.72,2018,,,2018
2018-01-04 14:00:00,351.93,2018,,,2018
2018-01-04 15:00:00,371.57,2018,,,2018
2018-01-04 16:00:00,383.36,2018,,,2018
2018-01-04 17:00:00,372.36,2018,,,2018
2018-01-04 18:00:00,344.07,2018,,,2018
2018-01-04 19:00:00,313.03,2018,,,2018
2018-01-04 20:00:00,302.33,2018,,,2018
2018-01-04 21:00:00,297.32,2018,,,2018
2018-01-04 22:00:00,291.03,2018,,,2018
2018-01-04 23:00:00,275.51,2018,,,2018
2018-01-05 00:00:00,269.01,2018,,,2018
2018-01-05 01:00:00,264.59,2018,,,2018
